date,timestamp,update_timestamp,wind_speed_high,wind_speed_low,wind_speed_direction,forecast_text,forecast_code,relative_humidity_high,relative_humidity_low,valid_period_text,valid_period_start,valid_period_end,temperature_high,temperature_low,time_period_text,time_period_start,time_period_end,south_forecast_text,south_forecast_code,north_forecast_text,north_forecast_code,east_forecast_text,east_forecast_code,central_forecast_text,central_forecast_code,west_forecast_text,west_forecast_code
2024-01-01,2024-01-01T05:31:00+08:00,2024-01-01T05:34:39+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,6 AM 1 Jan to 6 AM 2 Jan,2023-01-01T06:00:00+08:00,2023-01-02T06:00:00+08:00,31.0,24.0,6 am to Midday 01 Jan,2023-01-01T06:00:00+08:00,2023-01-01T12:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2024-01-01,2024-01-01T05:31:00+08:00,2024-01-01T05:34:39+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,6 AM 1 Jan to 6 AM 2 Jan,2023-01-01T06:00:00+08:00,2023-01-02T06:00:00+08:00,31.0,24.0,Midday to 6 pm 01 Jan,2023-01-01T12:00:00+08:00,2023-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2024-01-01,2024-01-01T05:31:00+08:00,2024-01-01T05:34:39+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,6 AM 1 Jan to 6 AM 2 Jan,2023-01-01T06:00:00+08:00,2023-01-02T06:00:00+08:00,31.0,24.0,6 pm 01 Jan to 6 am 02 Jan,2023-01-01T18:00:00+08:00,2023-01-02T06:00:00+08:00,Light Rain,LR,Light Rain,LR,Light Rain,LR,Light Rain,LR,Light Rain,LR
2024-01-01,2024-01-01T11:52:00+08:00,2024-01-01T12:04:30+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,Midday to 6 pm 01 Jan,2024-01-01T12:00:00+08:00,2024-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2024-01-01,2024-01-01T11:52:00+08:00,2024-01-01T12:04:30+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,6 pm 01 Jan to 6 am 02 Jan,2024-01-01T18:00:00+08:00,2024-01-02T06:00:00+08:00,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL
2024-01-01,2024-01-01T11:52:00+08:00,2024-01-01T12:04:30+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,6 am to Midday 02 Jan,2024-01-02T06:00:00+08:00,2024-01-02T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2024-01-01,2024-01-01T16:01:00+08:00,2024-01-01T16:04:33+08:00,20.0,10.0,NNE,Moderate Rain,RA,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,Midday to 6 pm 01 Jan,2024-01-01T12:00:00+08:00,2024-01-01T18:00:00+08:00,Light Rain,LR,Moderate Rain,RA,Moderate Rain,RA,Light Rain,LR,Light Rain,LR
2024-01-01,2024-01-01T16:01:00+08:00,2024-01-01T16:04:33+08:00,20.0,10.0,NNE,Moderate Rain,RA,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,6 pm 01 Jan to 6 am 02 Jan,2024-01-01T18:00:00+08:00,2024-01-02T06:00:00+08:00,Light Rain,LR,Light Rain,LR,Light Rain,LR,Light Rain,LR,Light Rain,LR
2024-01-01,2024-01-01T16:01:00+08:00,2024-01-01T16:04:33+08:00,20.0,10.0,NNE,Moderate Rain,RA,95.0,65.0,12 PM 1 Jan to 12 PM 2 Jan,2024-01-01T12:00:00+08:00,2024-01-02T12:00:00+08:00,31.0,24.0,6 am to Midday 02 Jan,2024-01-02T06:00:00+08:00,2024-01-02T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2024-01-01,2024-01-01T17:39:00+08:00,2024-01-01T17:44:31+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,65.0,6 PM 1 Jan to 6 PM 2 Jan,2024-01-01T18:00:00+08:00,2024-01-02T18:00:00+08:00,33.0,24.0,6 pm 01 Jan to 6 am 02 Jan,2024-01-01T18:00:00+08:00,2024-01-02T06:00:00+08:00,Light Rain,LR,Light Rain,LR,Moderate Rain,RA,Light Rain,LR,Light Rain,LR
