date,timestamp,update_timestamp,wind_speed_high,wind_speed_low,wind_speed_direction,forecast_text,forecast_code,relative_humidity_high,relative_humidity_low,valid_period_text,valid_period_start,valid_period_end,temperature_high,temperature_low,time_period_text,time_period_start,time_period_end,south_forecast_text,south_forecast_code,north_forecast_text,north_forecast_code,east_forecast_text,east_forecast_code,central_forecast_text,central_forecast_code,west_forecast_text,west_forecast_code
2022-01-01,2022-01-01T05:37:00+08:00,2022-01-01T05:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2021-01-01T06:00:00+08:00,2021-01-02T06:00:00+08:00,29.0,23.0,6 am to Midday 1 Jan,2021-01-01T06:00:00+08:00,2021-01-01T12:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T05:37:00+08:00,2022-01-01T05:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2021-01-01T06:00:00+08:00,2021-01-02T06:00:00+08:00,29.0,23.0,Midday to 6 pm 1 Jan,2021-01-01T12:00:00+08:00,2021-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T05:37:00+08:00,2022-01-01T05:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2021-01-01T06:00:00+08:00,2021-01-02T06:00:00+08:00,29.0,23.0,6 pm 1 Jan to 6 am 2 Jan,2021-01-01T18:00:00+08:00,2021-01-02T06:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T07:56:00+08:00,2022-01-01T08:06:19+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,29.0,23.0,6 am to Midday 1 Jan,2022-01-01T06:00:00+08:00,2022-01-01T12:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2022-01-01,2022-01-01T07:56:00+08:00,2022-01-01T08:06:19+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,29.0,23.0,Midday to 6 pm 1 Jan,2022-01-01T12:00:00+08:00,2022-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T07:56:00+08:00,2022-01-01T08:06:19+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,29.0,23.0,6 pm 1 Jan to 6 am 2 Jan,2022-01-01T18:00:00+08:00,2022-01-02T06:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T11:40:00+08:00,2022-01-01T11:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,12 PM 1 Jan - 12 PM 2 Jan,2022-01-01T12:00:00+08:00,2022-01-02T12:00:00+08:00,30.0,23.0,Midday to 6 pm 1 Jan,2022-01-01T12:00:00+08:00,2022-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T11:40:00+08:00,2022-01-01T11:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,12 PM 1 Jan - 12 PM 2 Jan,2022-01-01T12:00:00+08:00,2022-01-02T12:00:00+08:00,30.0,23.0,6 pm 1 Jan to 6 am 2 Jan,2022-01-01T18:00:00+08:00,2022-01-02T06:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2022-01-01,2022-01-01T11:40:00+08:00,2022-01-01T11:51:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,100.0,70.0,12 PM 1 Jan - 12 PM 2 Jan,2022-01-01T12:00:00+08:00,2022-01-02T12:00:00+08:00,30.0,23.0,6 am to Midday 2 Jan,2022-01-02T06:00:00+08:00,2022-01-02T12:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2022-01-01,2022-01-01T17:44:00+08:00,2022-01-01T18:06:18+08:00,20.0,10.0,NNE,Thundery Showers,TL,95.0,70.0,6 PM 1 Jan - 6 PM 2 Jan,2022-01-01T18:00:00+08:00,2022-01-02T18:00:00+08:00,31.0,23.0,6 pm 1 Jan to 6 am 2 Jan,2022-01-01T18:00:00+08:00,2022-01-02T06:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
