date,timestamp,update_timestamp,wind_speed_high,wind_speed_low,wind_speed_direction,forecast_text,forecast_code,relative_humidity_high,relative_humidity_low,valid_period_text,valid_period_start,valid_period_end,temperature_high,temperature_low,time_period_text,time_period_start,time_period_end,south_forecast_text,south_forecast_code,north_forecast_text,north_forecast_code,east_forecast_text,east_forecast_code,central_forecast_text,central_forecast_code,west_forecast_text,west_forecast_code
2023-01-01,2023-01-01T05:33:00+08:00,2023-01-01T05:51:18+08:00,30.0,15.0,N,Windy,WD,90.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,33.0,24.0,6 am to Midday 1 Jan,2022-01-01T06:00:00+08:00,2022-01-01T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2023-01-01,2023-01-01T05:33:00+08:00,2023-01-01T05:51:18+08:00,30.0,15.0,N,Windy,WD,90.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,33.0,24.0,Midday to 6 pm 1 Jan,2022-01-01T12:00:00+08:00,2022-01-01T18:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2023-01-01,2023-01-01T05:33:00+08:00,2023-01-01T05:51:18+08:00,30.0,15.0,N,Windy,WD,90.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2022-01-01T06:00:00+08:00,2022-01-02T06:00:00+08:00,33.0,24.0,6 pm 1 Jan to 6 am 2 Jan,2022-01-01T18:00:00+08:00,2022-01-02T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2023-01-10,2023-01-10T08:38:00+08:00,2023-01-10T11:06:22+08:00,15.0,5.0,WNW,Thundery Showers,TL,95.0,60.0,6 AM 10 Jan - 6 AM 11 Jan,2023-01-10T06:00:00+08:00,2023-01-11T06:00:00+08:00,33.0,24.0,6 am to Midday 10 Jan,2023-01-10T06:00:00+08:00,2023-01-10T12:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2023-01-10,2023-01-10T08:38:00+08:00,2023-01-10T11:06:22+08:00,15.0,5.0,WNW,Thundery Showers,TL,95.0,60.0,6 AM 10 Jan - 6 AM 11 Jan,2023-01-10T06:00:00+08:00,2023-01-11T06:00:00+08:00,33.0,24.0,Midday to 6 pm 10 Jan,2023-01-10T12:00:00+08:00,2023-01-10T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2023-01-10,2023-01-10T08:38:00+08:00,2023-01-10T11:06:22+08:00,15.0,5.0,WNW,Thundery Showers,TL,95.0,60.0,6 AM 10 Jan - 6 AM 11 Jan,2023-01-10T06:00:00+08:00,2023-01-11T06:00:00+08:00,33.0,24.0,6 pm 10 Jan to 6 am 11 Jan,2023-01-10T18:00:00+08:00,2023-01-11T06:00:00+08:00,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Cloudy,CL
2023-01-10,2023-01-10T11:33:00+08:00,2023-01-10T11:51:19+08:00,15.0,5.0,NNE,Thundery Showers,TL,95.0,60.0,12 PM 10 Jan - 12 PM 11 Jan,2023-01-10T12:00:00+08:00,2023-01-11T12:00:00+08:00,33.0,24.0,Midday to 6 pm 10 Jan,2023-01-10T12:00:00+08:00,2023-01-10T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2023-01-10,2023-01-10T11:33:00+08:00,2023-01-10T11:51:19+08:00,15.0,5.0,NNE,Thundery Showers,TL,95.0,60.0,12 PM 10 Jan - 12 PM 11 Jan,2023-01-10T12:00:00+08:00,2023-01-11T12:00:00+08:00,33.0,24.0,6 pm 10 Jan to 6 am 11 Jan,2023-01-10T18:00:00+08:00,2023-01-11T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2023-01-10,2023-01-10T11:33:00+08:00,2023-01-10T11:51:19+08:00,15.0,5.0,NNE,Thundery Showers,TL,95.0,60.0,12 PM 10 Jan - 12 PM 11 Jan,2023-01-10T12:00:00+08:00,2023-01-11T12:00:00+08:00,33.0,24.0,6 am to Midday 11 Jan,2023-01-11T06:00:00+08:00,2023-01-11T12:00:00+08:00,Thundery Showers,TL,Cloudy,CL,Cloudy,CL,Cloudy,CL,Thundery Showers,TL
2023-01-10,2023-01-10T14:37:00+08:00,2023-01-10T14:51:18+08:00,15.0,5.0,NNE,Thundery Showers,TL,95.0,60.0,12 PM 10 Jan - 12 PM 11 Jan,2023-01-10T12:00:00+08:00,2023-01-11T12:00:00+08:00,33.0,24.0,Midday to 6 pm 10 Jan,2023-01-10T12:00:00+08:00,2023-01-10T18:00:00+08:00,Cloudy,CL,Thundery Showers,TL,Cloudy,CL,Thundery Showers,TL,Thundery Showers,TL
