date,timestamp,update_timestamp,wind_speed_high,wind_speed_low,wind_speed_direction,forecast_text,forecast_code,relative_humidity_high,relative_humidity_low,valid_period_text,valid_period_start,valid_period_end,temperature_high,temperature_low,time_period_text,time_period_start,time_period_end,south_forecast_text,south_forecast_code,north_forecast_text,north_forecast_code,east_forecast_text,east_forecast_code,central_forecast_text,central_forecast_code,west_forecast_text,west_forecast_code
2021-01-01,2021-01-01T03:10:00+08:00,2021-01-01T03:21:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,12 AM 1 Jan - 12 AM 2 Jan,2020-01-01T00:00:00+08:00,2020-01-02T00:00:00+08:00,30.0,23.0,Midnight to 6 am 1 Jan,2020-01-01T00:00:00+08:00,2020-01-01T06:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2021-01-01,2021-01-01T03:10:00+08:00,2021-01-01T03:21:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,12 AM 1 Jan - 12 AM 2 Jan,2020-01-01T00:00:00+08:00,2020-01-02T00:00:00+08:00,30.0,23.0,6 am to Midday 1 Jan,2020-01-01T06:00:00+08:00,2020-01-01T12:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-01,2021-01-01T03:10:00+08:00,2021-01-01T03:21:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,12 AM 1 Jan - 12 AM 2 Jan,2020-01-01T00:00:00+08:00,2020-01-02T00:00:00+08:00,30.0,23.0,Midday to 6 pm 1 Jan,2020-01-01T12:00:00+08:00,2020-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-01,2021-01-01T03:10:00+08:00,2021-01-01T03:21:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,12 AM 1 Jan - 12 AM 2 Jan,2020-01-01T00:00:00+08:00,2020-01-02T00:00:00+08:00,30.0,23.0,6 pm to Midnight 1 Jan,2020-01-01T18:00:00+08:00,2020-01-02T00:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2021-01-01,2021-01-01T05:33:00+08:00,2021-01-01T05:51:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2020-01-01T06:00:00+08:00,2020-01-02T06:00:00+08:00,30.0,23.0,6 am to Midday 1 Jan,2020-01-01T06:00:00+08:00,2020-01-01T12:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-01,2021-01-01T05:33:00+08:00,2021-01-01T05:51:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2020-01-01T06:00:00+08:00,2020-01-02T06:00:00+08:00,30.0,23.0,Midday to 6 pm 1 Jan,2020-01-01T12:00:00+08:00,2020-01-01T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-01,2021-01-01T05:33:00+08:00,2021-01-01T05:51:18+08:00,30.0,20.0,NNE,Thundery Showers,TL,95.0,55.0,6 AM 1 Jan - 6 AM 2 Jan,2020-01-01T06:00:00+08:00,2020-01-02T06:00:00+08:00,30.0,23.0,6 pm 1 Jan to 6 am 2 Jan,2020-01-01T18:00:00+08:00,2020-01-02T06:00:00+08:00,Showers,SH,Showers,SH,Showers,SH,Showers,SH,Showers,SH
2021-01-05,2021-01-05T17:37:00+08:00,2021-01-05T20:51:20+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2021-01-05T18:00:00+08:00,2021-01-06T18:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2021-01-05T18:00:00+08:00,2021-01-06T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-05,2021-01-05T17:37:00+08:00,2021-01-05T20:51:20+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2021-01-05T18:00:00+08:00,2021-01-06T18:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2021-01-06T06:00:00+08:00,2021-01-06T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-05,2021-01-05T17:37:00+08:00,2021-01-05T20:51:20+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2021-01-05T18:00:00+08:00,2021-01-06T18:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2021-01-06T12:00:00+08:00,2021-01-06T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-05,2021-01-05T23:40:00+08:00,2021-01-05T23:51:18+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2021-01-06T00:00:00+08:00,2021-01-07T00:00:00+08:00,33.0,24.0,Midnight to 6 am 6 Jan,2021-01-06T00:00:00+08:00,2021-01-06T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-05,2021-01-05T23:40:00+08:00,2021-01-05T23:51:18+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2021-01-06T00:00:00+08:00,2021-01-07T00:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2021-01-06T06:00:00+08:00,2021-01-06T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-05,2021-01-05T23:40:00+08:00,2021-01-05T23:51:18+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2021-01-06T00:00:00+08:00,2021-01-07T00:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2021-01-06T12:00:00+08:00,2021-01-06T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-05,2021-01-05T23:40:00+08:00,2021-01-05T23:51:18+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2021-01-06T00:00:00+08:00,2021-01-07T00:00:00+08:00,33.0,24.0,6 pm to Midnight 6 Jan,2021-01-06T18:00:00+08:00,2021-01-07T00:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-06,2021-01-06T05:34:00+08:00,2021-01-06T05:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2021-01-06T06:00:00+08:00,2021-01-07T06:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2021-01-06T06:00:00+08:00,2021-01-06T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-06,2021-01-06T05:34:00+08:00,2021-01-06T05:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2021-01-06T06:00:00+08:00,2021-01-07T06:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2021-01-06T12:00:00+08:00,2021-01-06T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-06,2021-01-06T05:34:00+08:00,2021-01-06T05:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2021-01-06T06:00:00+08:00,2021-01-07T06:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-06,2021-01-06T11:38:00+08:00,2021-01-06T11:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2021-01-06T12:00:00+08:00,2021-01-06T18:00:00+08:00,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL,Thundery Showers,TL
2021-01-06,2021-01-06T11:38:00+08:00,2021-01-06T11:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-07,2021-01-07T13:56:00+08:00,2021-01-07T14:06:19+08:00,25.0,10.0,NNE,Moderate Rain,RA,95.0,60.0,12 PM 7 Jan - 12 PM 8 Jan,2021-01-07T12:00:00+08:00,2021-01-08T12:00:00+08:00,29.0,24.0,Midday to 6 pm 7 Jan,2021-01-07T12:00:00+08:00,2021-01-07T18:00:00+08:00,Moderate Rain,RA,Moderate Rain,RA,Moderate Rain,RA,Moderate Rain,RA,Moderate Rain,RA
2021-01-06,2021-01-06T11:38:00+08:00,2021-01-06T11:51:19+08:00,20.0,10.0,N,Thundery Showers,TL,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,33.0,24.0,6 am to Midday 7 Jan,2021-01-07T06:00:00+08:00,2021-01-07T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-06,2021-01-06T16:26:00+08:00,2021-01-06T16:36:18+08:00,20.0,10.0,N,Partly Cloudy (Day),PC,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,31.0,24.0,Midday to 6 pm 6 Jan,2021-01-06T12:00:00+08:00,2021-01-06T18:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-06,2021-01-06T16:26:00+08:00,2021-01-06T16:36:18+08:00,20.0,10.0,N,Partly Cloudy (Day),PC,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,31.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-06,2021-01-06T16:26:00+08:00,2021-01-06T16:36:18+08:00,20.0,10.0,N,Partly Cloudy (Day),PC,95.0,60.0,12 PM 6 Jan - 12 PM 7 Jan,2021-01-06T12:00:00+08:00,2021-01-07T12:00:00+08:00,31.0,24.0,6 am to Midday 7 Jan,2021-01-07T06:00:00+08:00,2021-01-07T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
2021-01-06,2021-01-06T17:36:00+08:00,2021-01-06T17:51:18+08:00,25.0,10.0,NNE,Thundery Showers,TL,95.0,60.0,6 PM 6 Jan - 6 PM 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T18:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T06:00:00+08:00,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN,Partly Cloudy (Night),PN
2021-01-06,2021-01-06T17:36:00+08:00,2021-01-06T17:51:18+08:00,25.0,10.0,NNE,Thundery Showers,TL,95.0,60.0,6 PM 6 Jan - 6 PM 7 Jan,2021-01-06T18:00:00+08:00,2021-01-07T18:00:00+08:00,33.0,24.0,6 am to Midday 7 Jan,2021-01-07T06:00:00+08:00,2021-01-07T12:00:00+08:00,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC,Partly Cloudy (Day),PC
